PROJECT_TITLE,NIH_SPENDING_CATS
Heterogeneous HPC changes alter context processing in MAM model of schizophrenia,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Mental Health; Neurosciences; Schizophrenia; 
Investigation of CFTR on sinus and craniofacial development in a CF porcine,Clinical Research; Congenital Structural Anomalies; Cystic Fibrosis; Dental/Oral and Craniofacial Disease; Lung; Pediatric; Prevention; Rare Diseases; 
Modulation of IgG blood-brain barrier permeability by surface-accessible glycan moieties,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Biotechnology; Brain Disorders; Dementia; Immunization; Neurodegenerative; Neurosciences; 
Vaccine Renaissance Conference at the Institute for Immunology and Informatics,Biotechnology; Immunization; Prevention; Vaccine Related; 
Genetic viral and host adaptations to breach species barriers of HCV,Biotechnology; Chronic Liver Disease and Cirrhosis; Digestive Diseases; Emerging Infectious Diseases; Genetics; HIV/AIDS; Hepatitis; Hepatitis - C; Immunization; Infectious Diseases; Liver Disease; Vaccine Related; 
Molecular Microbial Persistence and Pathogenesis,Clinical Research; 
Isolation of Regulators of Immune Cell Behavior,Biotechnology; Cancer; Hematology; Lymphoma; Rare Diseases; 
A Novel Trial of Smokeless Tobacco for Cessation Induction in Unmotivated Smokers,Behavioral and Social Science; Cancer; Clinical Research; Clinical Trials and Supportive Activities; Prevention; Smoking and Health; Substance Abuse; Tobacco; 
Enhancing Training for Implementation Research in Chronic Diseases: CITE/KENYA,Behavioral and Social Science; Clinical Research; Health Services; 
Transition from Endometriosis to Ovarian Cancer: Role of Iron-Induced Autophagy,Cancer; Endometriosis; Ovarian Cancer; Pain Research; Rare Diseases; 
Physiological Factors Driving Maturation of Neonatal Beta Cells,Diabetes; Pediatric; 
Determinants of early childhood asthma and atopy following infant RSV infection,Asthma; Genetics; Infectious Diseases; Lung; Pediatric; Prevention; 
The Biophysics Collaborative Access Team,Bioengineering; Biotechnology; 
Intergenerational Transmission of Risk for Drug Use,Behavioral and Social Science; Clinical Research; Drug Abuse (NIDA only); Pediatric; Prevention; Substance Abuse; 
CSHL Neurobiology of Drosophila Course,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Drug Abuse (NIDA only); Genetics; Neurosciences; Substance Abuse; 
Understanding the structural basis of replication initiation in AAV,Biotechnology; Gene Therapy; Genetics; Rare Diseases; 
Molecular signatures in allergy and asthma,Asthma; Genetics; Human Genome; Lung; 
Training Program in Neuroscience,Neurosciences; 
Center for Inherited Disease Research--GWAS for exfoliation Syndrome and Glaucoma,Aging; Eye Disease and Disorders of Vision; Genetics; Human Genome; Neurodegenerative; Neurosciences; 
Laboratory Sciences Core,Aging; Biotechnology; Cancer; Clinical Research; Drug Abuse (NIDA only); Genetics; HIV/AIDS; Human Genome; Infectious Diseases; Substance Abuse; 
Modeling Gene Regulation Essential for Long-Term Plasticity,Basic Behavioral and Social Science; Behavioral and Social Science; Biotechnology; Brain Disorders; Genetics; Mental Health; Neurosciences; Rare Diseases; 
Administrative Core,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Clinical Research; Dementia; Neurodegenerative; Neurosciences; 
Control of virulence in Vibrio cholerae by fatty acids,Biodefense; Biotechnology; Digestive Diseases; Emerging Infectious Diseases; Foodborne Illness; Genetics; Infectious Diseases; Prevention; 
Pathology and pathogenesis of otitis media syndromic ear and Meniere's disease,Brain Disorders; Clinical Research; Congenital Structural Anomalies; Infectious Diseases; Neurosciences; Otitis Media; Pediatric; 
Regulation of KSHV Latency,Biotechnology; Cancer; Emerging Infectious Diseases; Genetics; HIV/AIDS; Hematology; Infectious Diseases; Lymphoma; Rare Diseases; 
The MUC2 Mucus Gel as an Innate Immune Mechanisms that Inhibits Colitis,Autoimmune Disease; Biodefense; Clinical Research; Digestive Diseases; Emerging Infectious Diseases; Infectious Diseases; Inflammatory Bowel Disease; 
Brain and behavior in individuals with intersex conditions,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Contraception/Reproduction; Diagnostic Radiology; Mental Health; Neurosciences; Rare Diseases; Sexual and Gender Minorities (SGM/LGBT*); 
Regulation of Nutrient Homeostasis by IRF4,Biotechnology; Diabetes; Genetics; Nutrition; Obesity; 
Building Capacity,Behavioral and Social Science; Clinical Research; Health Services; Mental Health; Serious Mental Illness; 
Developmental Core,Aging; Cancer; Drug Abuse (NIDA only); HIV/AIDS; Infectious Diseases; Substance Abuse; 
Autophagy-based HDT for tuberculosis,Antimicrobial Resistance; Clinical Research; Clinical Trials and Supportive Activities; Emerging Infectious Diseases; HIV/AIDS; Infectious Diseases; Lung; Orphan Drug; Rare Diseases; Tuberculosis; 
Clinical Evaluation of T3D-959 as a Potential Disease Remedial Therapeutic for the Treatment of Alzheimer's Disease,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Dementia; Neurodegenerative; Neurosciences; 
Contributions of protein aggregation to gene regulation and phenotypic diversity,Biotechnology; Dental/Oral and Craniofacial Disease; Genetics; Rare Diseases; Transmissible Spongiform Encephalopathy (TSE); 
Development of Real-Time Antiretroviral Therapy Adherence Intervention in Uganda,Behavioral and Social Science; Clinical Research; HIV/AIDS; Infectious Diseases; Mental Health; Pediatric; Pediatric AIDS; Prevention; 
Therapeutic assessment of synthetic heparin sulfates in transplantation models,Biotechnology; Hematology; Organ Transplantation; Transplantation; 
Evaluating the Outcomes of Oral Health Workforce Policy to Increase Access to Dental Providers and Reduce Oral Health Disparities,Clinical Research; Dental/Oral and Craniofacial Disease; Health Services; Pediatric; Pediatric Research Initiative; Prevention; 
Prokaryotic RNA Metabolism - Resubmission - 1,Biotechnology; Genetics; 
Preclinical Efficacy And Safety Evaluation Of Graphene Nanoparticle-based Magnetic Resonance Imaging Contrast Agent For Diagnosis of Renal Failure,Bioengineering; Diagnostic Radiology; Kidney Disease; Nanotechnology; 
Overcoming bias and unwanted variability in next generation sequencing,Bioengineering; Biotechnology; Genetics; Human Genome; 
Histology and Cellular Localization,Bioengineering; Biotechnology; Dental/Oral and Craniofacial Disease; Genetics; Human Genome; Neurosciences; Nutrition; 
COMPUTATIONAL AND FUNCTIONAL APPROACHES TO VALIDATING CANCER GENOME TARGETS,Biotechnology; Cancer; Genetics; Human Genome; Lung; Lung Cancer; Orphan Drug; Ovarian Cancer; Rare Diseases; 
TREAT 2.0 Pilot-Studies,Assistive Technology; Bioengineering; Physical Rehabilitation; Rehabilitation; 
TRAINING,Genetics; Human Genome; Networking and Information Technology R&D; 
Novel Approach to Facilitate Decisions in Patients w/ Muscle Invasive Bladder CA,Cancer; Clinical Research; Patient Safety; Urologic Diseases; 
Institute for Clinical and Translational Sciences,Clinical Research; Clinical Trials and Supportive Activities; 
Role of RBC NO and ATP in Sickle Vasculopathy,Clinical Research; Hematology; Rare Diseases; Sickle Cell Disease; 
Role of cytochrome P4501B1 in oxygen-mediated pulmonary injury,Genetics; Infant Mortality/ (LBW); Lung; Pediatric; Perinatal - Birth - Preterm (LBW); Perinatal - Neonatal Respiratory Distress Syndrome; Perinatal Period - Conditions Originating in Perinatal Period; Prevention; Rare Diseases; 
Molecular aspects of copper and zinc binding to the prion protein,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Dementia; Emerging Infectious Diseases; Infectious Diseases; Neurodegenerative; Neurosciences; Rare Diseases; Transmissible Spongiform Encephalopathy (TSE); 
Dissemination and implementation of a corrective intervention to improve mediasti,Cancer; Clinical Research; Lung; Lung Cancer; Patient Safety; 
Fetal Cardiovascular and Endocrine Reflex Responses,Brain Disorders; Cardiovascular; Neurosciences; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; Stroke; 
Targeting AR and Akt for the Treatment of Prostate Cancer,Aging; Cancer; Prostate Cancer; Urologic Diseases; 
OCT-Guided Free-Hand Semi-Automated Microsurgical Tool for Enhanced Retinal Surge,Bioengineering; Eye Disease and Disorders of Vision; Neurosciences; 
Mechanisms of induction of protective anti-malarial CD8+ T Cells,HIV/AIDS; Immunization; Infectious Diseases; Malaria; Malaria Vaccine; Prevention; Rare Diseases; Vaccine Related; Vector-Borne Diseases; 
Cardiovascular Regulations Autonomic/Metabolic Mechanisms,Cardiovascular; Clinical Research; Hypertension; Neurosciences; Nutrition; Obesity; 
Improving cochlear implant performance by optimizing bilateral speech processors,Assistive Technology; Bioengineering; Clinical Research; Prevention; Rehabilitation; 
Core B: Murine Models and Gnotobiotics Core,Digestive Diseases; Genetics; 
"Outreach, Recruitment and Education Core",Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Behavioral and Social Science; Brain Disorders; Clinical Research; Dementia; Health Services; Neurodegenerative; Neurosciences; 
SMA mouse models: splicing manipulation and therapeutic SMN replacement,Genetics; Neurodegenerative; Neurosciences; Pediatric; Rare Diseases; Spinal Muscular Atrophy; 
Salinosporamide Biosynthesis and Engineering,Bioengineering; Biotechnology; Cancer; Hematology; Orphan Drug; Rare Diseases; 
Bringing CLARITY to EAE,Autoimmune Disease; Bioengineering; Brain Disorders; Diagnostic Radiology; Multiple Sclerosis; Neurodegenerative; Neurosciences; 
Coagulation and Adhesion Pathway Control to Protect Lung and Liver Xenografts,Biotechnology; Clinical Research; Digestive Diseases; Genetics; Liver Disease; Lung; Organ Transplantation; Transplantation; 
Cardiovascular Inflammation Reduction Trial (CIRT): DCC,Cardiovascular; Clinical Research; Clinical Trials and Supportive Activities; Heart Disease; Heart Disease - Coronary Heart Disease; 
The role and mechanisms of lipofuscin formation in macular degeneration,Aging; Eye Disease and Disorders of Vision; Macular Degeneration; Neurodegenerative; 
PDE4D Allosteric Modulators for Treating Cognitive Impairment,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Behavioral and Social Science; Brain Disorders; Dementia; Neurodegenerative; Neurosciences; 
Study of Oxytocin in Autism to Improve Reciprocal Social Behaviors (SOARS-B),Autism; Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Intellectual and Developmental Disabilities (IDD); Mental Health; Neurosciences; Pediatric; 
4/6 Psychosis and Affective Research Domains and Intermediate Phenotypes (PARDIP),Behavioral and Social Science; Bipolar Disorder; Brain Disorders; Clinical Research; Mental Health; Neurosciences; Serious Mental Illness; 
Cancer Center Support Grant,Cancer; Clinical Research; Clinical Trials and Supportive Activities; Genetics; HIV/AIDS; Health Services; Prevention; 
Elastic mechanisms in locomotion,Bioengineering; 
Solute And Water Transport In Renal Epithelia,Bioengineering; Biotechnology; Genetics; Kidney Disease; 
Cell cycle re-entry in the aging adult brain,Aging; Neurodegenerative; Neurosciences; 
The Role of the PIWI Proteins in Maintaining Genome Integrity,Biotechnology; Genetics; Human Genome; 
Molecular mechanisms of immune dysregulation by filoviral interferon ,Biodefense; Emerging Infectious Diseases; Infectious Diseases; Rare Diseases; 
Agrin signaling in maintaining neuromuscular junction in aging,Aging; Neurosciences; 
Regulation of DPP4 and its non-catalytic function in type 2 diabetes,Clinical Research; Diabetes; Nutrition; Obesity; 
Photopolymerization-Induced Topography Directs Neurite and Schwann Cell Alignment,Assistive Technology; Bioengineering; Neurosciences; Regenerative Medicine; Rehabilitation; 
Enhancing Antibody-directed Innate Immunity to Improve Cancer Outcome,Biotechnology; Cancer; Clinical Research; Immunization; Neuroblastoma; Neurosciences; Orphan Drug; Pediatric; Pediatric Cancer; Pediatric Research Initiative; Rare Diseases; Vaccine Related; 
A high throughput discovery platform captures mosquito-specific toxins,Biodefense; Emerging Infectious Diseases; Infectious Diseases; Prevention; Vector-Borne Diseases; 
Mapping Human Memory with Electrocorticography & Chronometric Stimulation,Brain Disorders; Clinical Research; Epilepsy; Neurodegenerative; Neurosciences; 
DNA Linkage Studies of Degenerative Retinal Diseases,Biotechnology; Clinical Research; Eye Disease and Disorders of Vision; Genetic Testing; Genetics; Human Genome; Neurodegenerative; Neurosciences; Rare Diseases; 
SBIRT for Substance Abuse in Mental Health Treatment Settings,Behavioral and Social Science; Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Drug Abuse (NIDA only); Health Services; Mental Health; Screening And Brief Intervention For Substance Abuse; Substance Abuse; 
Mechanisms of Mitochondrial Dysfunction in Brain Vasculature,Biotechnology; Brain Disorders; Complementary and Alternative Medicine; Neurosciences; Stroke; 
Using Cognitive Neuroscience to Predict Dyslexia among Kindergarden Children,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Mental Health; Neurosciences; Pediatric; Prevention; 
Small Quantum Dots for Super-Resolution of Neuronal Sub-Synaptic Structures,Bioengineering; Cancer; Nanotechnology; Neurosciences; 
The Role of Germline Mutation and Parental Age in Autism Spectrum Disorders,Autism; Biotechnology; Brain Disorders; Clinical Research; Contraception/Reproduction; Genetics; Human Genome; Intellectual and Developmental Disabilities (IDD); Mental Health; Pediatric; Prevention; 
Emotional Distress in a Comparative Effectiveness Trial of Diabetes Treatments,Behavioral and Social Science; Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Depression; Diabetes; Health Services; Mental Health; Mind and Body; Nutrition; 
Task Order 5: The Interventional Agent Development Services Program,Biodefense; Emerging Infectious Diseases; Infectious Diseases; 
Mechanisms of Sex Determination in Zebrafish,Contraception/Reproduction; Genetics; 
Clinical Trials Network Mid-Atlantic Collaborative Group,Behavioral and Social Science; Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Drug Abuse (NIDA only); Patient Safety; Substance Abuse; 
Environmental Monitoring and Interpretation Fac/Ser Core (FSC),American Indians / Alaska Natives; Climate-Related Exposures and Conditions; Clinical Research; Prevention; Rural Health; 
PROJECT 1: SPATIOTEMPORAL GENOME ARCHITECTURE,Bioengineering; Genetics; 
Novel therapeutic targets for Diamond Blackfan anemia and other ribosomopathies,Biotechnology; Clinical Research; Genetics; Hematology; Orphan Drug; Pediatric; Rare Diseases; Stem Cell Research; Stem Cell Research - Induced Pluripotent Stem Cell; Stem Cell Research - Induced Pluripotent Stem Cell - Human; 
Pasinetti: Project 1; Preservation of Psychological Resilience under Chronic Stress (Russo),Basic Behavioral and Social Science; Behavioral and Social Science; Complementary and Alternative Medicine; Mental Health; Mind and Body; Neurosciences; Nutrition; 
UNDERSTANDING MECHANISMS THAT BLOCK GRPR-MEDIATED CHRONIC ITCH,Neurosciences; 
Detecting presymptomatic disease in inherited frontotemporal dementia,Acquired Cognitive Impairment; Aging; Alzheimer's Disease Related Dementias (ADRD); Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Clinical Research; Dementia; Diagnostic Radiology; Frontotemporal Dementia (FTD); Genetics; Neurodegenerative; Neurosciences; Rare Diseases; 
Workshop on Techniques in Modeling Human Cancer in Mice,Biotechnology; Cancer; Genetics; 
Structural Analysis of Biological Membrane Proteins,Cancer; 
A Study of the Function of Hormones Present in Taste Buds,Aging; Clinical Research; Dental/Oral and Craniofacial Disease; Diabetes; Neurosciences; Nutrition; Obesity; 
Novel Small Molecule Agonists of Integrin CD11b/CD18 as Anti-Inflammatory Agents,Autoimmune Disease; Kidney Disease; Lupus; 
Local Circuits in the Olfactory Bulb,Neurodegenerative; Neurosciences; 
2015 Muscle: Excitation/Contraction Coupling Gordon Research Conference & Gordon Research Seminar,Aging; 
Research Training Program in Environmental Pediatrics,Pediatric; 
The role of follicular helper T cell cytokines in the IgE response,Asthma; Biotechnology; Genetics; Immunization; Lung; Vaccine Related; 
Effects of CG and VEGF on the vasculature of the primate ovary and uterus,Contraception/Reproduction; Diagnostic Radiology; Infertility; 
Measuring Bladder Permeability with MRI using a Novel Contrast Agent Formulation,Clinical Research; Diagnostic Radiology; Interstitial Cystitis; Pain Conditions - Chronic; Pain Research; Urologic Diseases; 
A Clinical Prediction Tool to Guide Treatment of Osteoporosis in the Nursing Home,Aging; Burden of Illness; Clinical Research; Health Services; Osteoporosis; Prevention; 
Mechano-Visual Phenotyping of Cancer: From Onset Through Disease Progression,Bioengineering; Breast Cancer; Cancer; Networking and Information Technology R&D; 
Neural mechanisms of perceptual localization,Clinical Research; Eye Disease and Disorders of Vision; Neurosciences; 
Medical Student Training in Aging Research (MSTAR) program,Aging; 
"Developing a multi-modality, paradigm-shifting approach for in vivo assessment of the human placenta and the impact of maternal nutrition on its development and function",Bioengineering; Clinical Research; Conditions Affecting the Embryonic and Fetal Periods; Contraception/Reproduction; Diagnostic Radiology; Infant Mortality/ (LBW); Nutrition; Pediatric; Pediatric Research Initiative; Perinatal - Birth - Preterm (LBW); Perinatal Period - Conditions Originating in Perinatal Period; Prevention; 
TARGETED GENOMICS FACILITY CORE,Biotechnology; Genetics; Human Genome; 
"Bioinformatics, Biostatistics, and Computational Biology Core (BBCC)",Bioengineering; Genetics; Human Genome; Networking and Information Technology R&D; 
Chemical and genetic studies of RORgamma and its critical roles in IBD,Autoimmune Disease; Biotechnology; Crohn's Disease; Digestive Diseases; Genetics; Inflammatory Bowel Disease; 
Leveraging Single-Cell Analysis to Elucidate Mechanisms of Vertebrate Limb Regeneration,Genetics; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
CORE B - NEUROSCIENCE RESEARCH CORE,Biotechnology; Brain Disorders; Down Syndrome; Intellectual and Developmental Disabilities (IDD); Mental Health; Neurosciences; Stem Cell Research; Stem Cell Research - Induced Pluripotent Stem Cell; Stem Cell Research - Induced Pluripotent Stem Cell - Human; Stem Cell Research - Nonembryonic - Human; 
Cancer Center Support Grant,Cancer; Clinical Research; Hematology; 
Sfrp2 and Cardiac Progenitor Cells in Regenerative Response to Ischemic Injury,Cardiovascular; Heart Disease; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Optimization of 3-photon microscopy for Large Scale Recording in Mouse Brain,Bioengineering; Diagnostic Radiology; Neurosciences; 
Understanding Mechanisms of Resistance to Anti-angiogenic Treatments,Brain Cancer; Brain Disorders; Cancer; Diagnostic Radiology; Neurosciences; Rare Diseases; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Understanding the role of IL-22 in cutaneous leishmaniasis,Infectious Diseases; Vector-Borne Diseases; 
Pathogenesis of Opisthorchiasis induced persistent periductal fibrosis and CCA,Cancer; Digestive Diseases; Digestive Diseases - (Gallbladder); Genetics; Infectious Diseases; Liver Cancer; Liver Disease; Rare Diseases; 
Mechanisms of mitochondrial transcription,Genetics; 
Studies of Head and Neck Cancers,Cancer; Clinical Research; Dental/Oral and Craniofacial Disease; Digestive Diseases; Infectious Diseases; Rare Diseases; Sexually Transmitted Diseases/Herpes; 
Analysis of BRCA1 function in DNA Repair,Breast Cancer; Cancer; Genetics; 
Pacific Northwest Clinical Center for the NHLBI PETAL Network,Acute Respiratory Distress Syndrome; Clinical Research; Clinical Trials and Supportive Activities; Emergency Care; Lung; Patient Safety; Prevention; Rare Diseases; 
Mechanism of Potent Neutralization of HIV by IgA CD4i Antibody,Biotechnology; Clinical Research; HIV/AIDS; Immunization; Infectious Diseases; Prevention; Vaccine Related; Vaccine Related (AIDS); 
Contributions of Nitrergic Interneurons and NO Signaling in Cocaine Relapse,Brain Disorders; Drug Abuse (NIDA only); Neurosciences; Substance Abuse; 
Developmental Core,Aging; Behavioral and Social Science; Cancer; Drug Abuse (NIDA only); HIV/AIDS; Infectious Diseases; Prevention; Substance Abuse; 
Molecular Motors and Glioma Dispersion,Brain Cancer; Brain Disorders; Cancer; Neurosciences; Rare Diseases; 
Signature-Directed Combination Mitigator Therapy Based on GS-Nitroxides,Biodefense; 
Microvascular Mechanisms Underlying Persistent Vessel Dysfunction Following Preeclampsia,Brain Disorders; Cardiovascular; Clinical Research; Contraception/Reproduction; Heart Disease; Hypertension; 
Obesity and Asthma Subphenotypes and Underlying Genetic and Genomic Pathways,Asthma; Biotechnology; Clinical Research; Genetics; Human Genome; Lung; Nutrition; Obesity; Pediatric; 
Natural and Induced IgM as Regulators of Antiviral Humoral Immunity ,Biodefense; Emerging Infectious Diseases; Immunization; Infectious Diseases; Influenza; Pneumonia & Influenza; Vaccine Related; 
Development of AK-based assays for antimicrobial screening,Biotechnology; Infectious Diseases; Orphan Drug; Rare Diseases; Tuberculosis; 
Bacterial influences on synapse formation,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Genetics; Intellectual and Developmental Disabilities (IDD); Mental Health; Neurosciences; Pediatric; Schizophrenia; 
Novel asthma pathogenesis genes in the mucosa of the human airways,Asthma; Biotechnology; Clinical Research; Genetics; Human Genome; Lung; 
Scanning Probe Microscopy for the Intramural Research Community,Aging; Arthritis; Bioengineering; Biotechnology; Genetics; Nanotechnology; 
FETAL AND NEONATAL NEUROBEHAVIOR AND PRENATAL ANTIDEPRESSANT EXPOSURE:  THE CHILD,Behavioral and Social Science; Brain Disorders; Clinical Research; Conditions Affecting the Embryonic and Fetal Periods; Depression; Major Depressive Disorder; Mental Health; Neurosciences; Pediatric; Prevention; Serious Mental Illness; 
Leveraging Patient-Reported Outcomes to Improve Retention in HIV Care,Behavioral and Social Science; Brain Disorders; Clinical Research; Depression; HIV/AIDS; Health Services; Infectious Diseases; Mental Health; Pediatric; Pediatric AIDS; Prevention; Substance Abuse; 
ES Cell & Transgenics ,Biotechnology; Cancer; Genetics; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Embryonic - Non-Human; 
Hypoxia induces SHMT2 to regulate cellular redox and epigenetics,Cancer; Genetics; 
Analysis of Reproductive Function Using Transgenic Mice,Biotechnology; Clinical Research; Contraception/Reproduction; Genetics; 
Methods for Multiscale and Integrative Characterization of Bacterial Epigenomes,Biotechnology; Genetics; Human Genome; 
Pathogenesis and therapy of dense deposit disease in a mouse model,Eye Disease and Disorders of Vision; Kidney Disease; Macular Degeneration; Neurodegenerative; Neurosciences; 
Role of GLIS2 in the Development of Cystic Kidney Disease,Biotechnology; Congenital Structural Anomalies; Genetics; Kidney Disease; Pediatric; Polycystic Kidney Disease; 
The Center for HIV RNA Studies (CRNA),HIV/AIDS; 
Facilitating Adolescent Self-Change for Alcohol Problems,"Alcoholism, Alcohol Use and Health; Behavioral and Social Science; Clinical Research; Pediatric; Prevention; Substance Abuse; Underage Drinking; "
Repositioning Gliptins for Parkinson's Disease Treatment,Aging; Brain Disorders; Digestive Diseases; Neurodegenerative; Neurosciences; Parkinson's Disease; 
Highly Sensitive and Specific MSD Multiplexed Autoimmune Disease Panel,Autoimmune Disease; Biodefense; Emerging Infectious Diseases; HIV/AIDS; Infectious Diseases; 
Cochlear mechanics in the mouse,Bioengineering; Diagnostic Radiology; Neurosciences; 
Complete Phasing of Methylome in Multiple Human Cell Types and Individuals,Biotechnology; Clinical Research; Genetics; Human Genome; 
Evolution of KPC-K pneumoniae that persist in patients on prolonged antibiotics,Antimicrobial Resistance; Biodefense; Emerging Infectious Diseases; Genetics; Hematology; Infectious Diseases; Lung; Pneumonia; Pneumonia & Influenza; Septicemia; 
Chemoprotective effects of natural products on colonic adult stem cells,Cancer; Colo-Rectal Cancer; Complementary and Alternative Medicine; Digestive Diseases; Genetics; Human Genome; Nutrition; Prevention; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Purinergic neurotransmission in the gut,Digestive Diseases; Neurosciences; 
2015 Pancreatic Diseases Gordon Research Conference,Cancer; Diabetes; Digestive Diseases; Nutrition; Pancreatic Cancer; Rare Diseases; Regenerative Medicine; 
Boston University Clinical and Translational Science Institute,Bioengineering; Clinical Research; Clinical Trials and Supportive Activities; HIV/AIDS; Regenerative Medicine; 
Macrophage Phenotype and Impaired Wound Healing,Clinical Research; Diabetes; 
Mechanisms of transcription fidelity in prokaryotes and eukaryotes,Cancer; Genetics; HIV/AIDS; 
Molecular Core,Biotechnology; Gene Therapy; Genetics; Neurosciences; 
The Community Outreach and Translation Core,Asthma; Lung; Obesity; Pediatric; Prevention; 
Harnessing the Multipotency of Cancer Stem Cells for Differentiation Therapy,Cancer; Orphan Drug; Pediatric; Pediatric Cancer; Rare Diseases; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; 
A Biomaterial Approach to Attenuate Rejection of Skin Allografts,Bioengineering; Biotechnology; Injury (total) Accidents/Adverse Effects; Organ Transplantation; Prevention; Transplantation; 
Targeting the oncogenic mutant p53 signaling in colorectal cancer therapy,Biotechnology; Cancer; Colo-Rectal Cancer; Digestive Diseases; Genetics; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; 
Staff Investigators,Cancer; Clinical Research; 
Characterization of the Drosophila Synaptotagmin Family,Brain Disorders; Genetics; Neurosciences; 
Transmembrane Proteins Involved in Human Tumor Expansion,Cancer; 
Telomere Biology,Biotechnology; Cancer; Genetics; 
Integrative Modeling of Gene Expression into GWAS of Glioma,Brain Cancer; Brain Disorders; Cancer; Genetics; Human Genome; Prevention; Rare Diseases; 
IRF4 Functions as a Negative Regulator of Notch Signaling in the Development of M,Cancer; HIV/AIDS; Hematology; Lymphoma; Rare Diseases; 
Live Imaging and Functional Evaluation (LIFE) Core,Diagnostic Radiology; Eye Disease and Disorders of Vision; Neurosciences; Stem Cell Research; Stem Cell Research - Embryonic - Human; Stem Cell Research - Embryonic - Non-Human; Stem Cell Research - Nonembryonic - Human; Stem Cell Research - Nonembryonic - Non-Human; 
Neurobehavioral Study of Warnings for Adolescents at Risk for Nicotine Dependence,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Mental Health; Neurosciences; Pediatric; Prevention; Smoking and Health; Substance Abuse; Substance Abuse Prevention; Tobacco; 
Myoelectric Computer Interface to Reduce Muscle Co-Activation after Stroke,Brain Disorders; Clinical Research; Networking and Information Technology R&D; Neurosciences; Physical Rehabilitation; Rehabilitation; Stroke; 
Brittle Bone Disorders Consortium of the Rare Disease Clinical Research Network,Clinical Research; Congenital Structural Anomalies; Dental/Oral and Craniofacial Disease; Genetics; Osteogenesis Imperfecta; Pain Research; Pediatric; Rare Diseases; 
Multivalent Bacillus mucosal vaccines against Clostridium difficile infection,Biodefense; Digestive Diseases; Emerging Infectious Diseases; Immunization; Infectious Diseases; Prevention; Vaccine Related; 
Neural correlates of PTSD treatment outcome: an fMRI study,Anxiety Disorders; Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Mental Health; Mind and Body; Neurosciences; Post-Traumatic Stress Disorder (PTSD); Violence Research; 
Radiolabeled Trastuzumab to Improve Diagnosis and Staging of HER2+ Gastric Cancer,Bioengineering; Breast Cancer; Cancer; Clinical Research; Clinical Trials and Supportive Activities; Diagnostic Radiology; Digestive Diseases; Rare Diseases; 
Retrovirus Biology,Breast Cancer; Cancer; Genetics; HIV/AIDS; Infectious Diseases; 
Links Between Production and Perception in Speech,Basic Behavioral and Social Science; Behavioral and Social Science; Clinical Research; Neurosciences; 
Biological Imaging Module,Eye Disease and Disorders of Vision; Neurosciences; 
RNA signatures of frontotemporal dementia and ALS due to C9ORF72 expansion,ALS; Acquired Cognitive Impairment; Aging; Alzheimer's Disease Related Dementias (ADRD); Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Clinical Research; Dementia; Frontotemporal Dementia (FTD); Genetics; Human Genome; Neurodegenerative; Neurosciences; Rare Diseases; 
